Timestamp,What is your age? (Enter Number-- ex. 23),What is your gender?,What is the highest level of education you have completed?,Where is your primary residence? (Continent Wise),How would you describe your race/ethnicity,zoom,gpt,social_media,Positive,Negative,Neutral
2024/11/13 9:25:18 AM EST,21,Female,High School,North America,Asian,8,7,7,1,0,0
2024/11/13 3:06:50 PM EST,21,Female,Some College,North America,White,10,5,9,1,0,0
2024/11/13 3:17:09 PM EST,22,Female,Some College,North America,Asian,10,8,6,1,0,0
2024/11/13 3:19:08 PM EST,21,Female,Some College,North America,Biracial,10,9,10,1,0,0
2024/11/13 3:19:50 PM EST,19,Male,High School,North America,Black or African American,7,8,10,1,0,0
2024/11/13 3:24:59 PM EST,20,Female,Some College,North America,White,7,9,7,1,0,0
2024/11/13 3:29:48 PM EST,20,Female,High School,North America,Black or African American,10,8,7,1,0,0
2024/11/13 3:30:35 PM EST,20,Male,Some College,North America,White,9,8,5,1,0,0
2024/11/13 3:41:46 PM EST,21,Female,High School,Asia,Asian,9,10,8,1,0,0
2024/11/13 3:44:36 PM EST,21,Female,Bachelor's Degree,Asia,Black or African American,8,6,10,1,0,0
2024/11/13 3:59:00 PM EST,21,Female,High School,North America,Asian,10,8,8,1,0,0
2024/11/13 4:25:32 PM EST,48,Female,Post Graduate,Asia,Asian,9,3,9,1,0,0
2024/11/13 4:44:11 PM EST,21,Female,Some College,Asia,Asian,7,7,10,1,0,0
2024/11/13 7:31:04 PM EST,21,Male,High School,Asia,South Asian,6,2,7,1,0,0
2024/11/13 9:31:20 PM EST,46,Female,Phd,Asia,Asian,9,9,10,1,0,0
2024/11/14 8:06:42 AM EST,21,Male,High School,North America,White,10,9,10,1,0,0
2024/11/14 8:27:20 AM EST,21,Female,Bachelor's Degree,South America,Hispanic or Latino,10,10,8,1,0,0
2024/11/14 10:32:52 AM EST,21,Female,Bachelor's Degree,Asia,Asian,10,7,8,1,0,0
2024/11/15 12:23:20 AM EST,22,Female,Some College,North America,Black or African American,9,5,7,1,0,0
2024/11/15 11:41:03 AM EST,21,Male,Some College,North America,Black or African American,8,8,6,1,0,0
2024/11/15 11:42:05 AM EST,22,Male,Bachelor's Degree,North America,Asian,8,8,5,1,0,0
2024/11/15 2:30:53 PM EST,21,Female,High School,North America,Middle Eastern,10,5,8,1,0,0
2024/11/15 2:34:00 PM EST,21,Male,Bachelor's Degree,North America,Hispanic or Latino,10,10,5,1,0,0
2024/11/15 2:35:22 PM EST,21,Female,Some College,North America,Asian,8,5,8,1,0,0
2024/11/15 2:37:15 PM EST,23,Male,Associates,North America,Asian,8,9,2,1,0,0
2024/11/15 2:48:17 PM EST,21,Male,Some College,North America,White,10,10,5,1,0,0
2024/11/15 3:04:43 PM EST,19,Female,High School,North America,Asian,5,7,1,1,0,0
2024/11/15 3:05:16 PM EST,21,Male,Bachelor's Degree,North America,White,10,7,4,1,0,0
2024/11/16 12:56:02 PM EST,50,Male,Graduate Degree,Asia,Hindu,7,10,10,1,0,0
2024/11/16 1:20:50 PM EST,42,Male,Bachelor's Degree,Asia,Asian,4,7,10,1,0,0
2024/11/16 2:21:20 PM EST,21,Female,High School,North America,Asian,5,10,7,1,0,0
2024/11/18 10:51:50 AM EST,26,Female,Graduate Degree,North America,Hispanic or Latino,10,7,8,1,0,0
2024/11/18 7:10:15 PM EST,20,Female,Some College,North America,Black or African American,10,8,9,1,0,0
2024/11/19 10:49:54 PM EST,23,Male,Not graduated yet,Asia,Asian,4,10,3,1,0,0
2024/11/13 8:47:36 AM EST,21,Female,Some College,North America,Black or African American,10,7,5,0,1,0
2024/11/13 2:29:47 PM EST,20,Female,High School,South America,Hispanic or Latino,10,8,9,0,1,0
2024/11/13 3:10:19 PM EST,27,Male,Bachelor's Degree,North America,Hispanic or Latino,10,8,5,0,1,0
2024/11/13 3:14:00 PM EST,23,Female,Graduate Degree,North America,Hispanic or Latino,10,1,3,0,1,0
2024/11/13 3:20:06 PM EST,21,Female,Some College,North America,Asian,7,9,3,0,1,0
2024/11/13 3:24:05 PM EST,20,Female,Bachelor's Degree,North America,Asian,8,8,5,0,1,0
2024/11/13 4:11:12 PM EST,22,Female,Some College,North America,White,5,5,4,0,1,0
2024/11/13 4:25:49 PM EST,21,Female,Some College,North America,White,8,6,6,0,1,0
2024/11/13 4:32:14 PM EST,21,Female,Bachelor's Degree,North America,Asian,6,7,7,0,1,0
2024/11/13 6:43:33 PM EST,23,Male,High School,Asia,Asian,7,8,7,0,1,0
2024/11/13 7:18:04 PM EST,21,Male,Some College,North America,Black or African American,8,6,6,0,1,0
2024/11/13 7:40:07 PM EST,12,Male,Lower middle school,Asia,Asian,6,4,8,0,1,0
2024/11/13 7:43:34 PM EST,21,Male,Bachelor's Degree,North America,Black or African American,6,7,8,0,1,0
2024/11/14 3:05:36 AM EST,22,Female,Bachelor's Degree,Asia,Asian,6,5,3,0,1,0
2024/11/14 1:42:33 PM EST,42,Male,Graduate Degree,Asia,Asian,9,8,8,0,1,0
2024/11/15 11:40:06 AM EST,21,Female,Bachelor's Degree,Europe,black/white,7,10,4,0,1,0
2024/11/15 11:40:53 AM EST,22,Female,Bachelor's Degree,North America,Asian,8,9,4,0,1,0
2024/11/15 7:00:32 PM EST,21,Female,Some College,North America,Asian,4,3,10,0,1,0
2024/11/16 11:26:43 AM EST,40,Female,Bachelor's Degree,Asia,Asian,10,1,1,0,1,0
2024/11/18 10:37:01 AM EST,22,Male,Some College,North America,White,6,9,10,0,1,0
2024/11/18 10:45:46 AM EST,19,Female,High School,North America,Asian,5,9,5,0,1,0
2024/11/18 10:58:16 AM EST,19,Male,Some College,North America,Black or African American,7,8,4,0,1,0
2024/11/18 5:04:25 PM EST,21,Female,Bachelor's Degree,North America,White,4,2,3,0,1,0
2024/11/18 6:04:49 PM EST,22,Female,Some College,North America,Black or African American,7,6,4,0,1,0
2024/11/18 8:35:28 PM EST,21,Female,Bachelor's Degree,North America,White,4,4,2,0,1,0
2024/11/18 9:23:09 PM EST,24,Female,Bachelor's Degree,North America,White,8,4,3,0,1,0
2024/11/18 10:32:07 PM EST,21,Male,Bachelor's Degree,North America,Asian,10,10,7,0,1,0
2024/11/19 7:12:02 AM EST,19,Male,Some College,North America,White,8,7,3,0,1,0
2024/11/19 3:51:07 PM EST,22,Male,Some College,North America,White,4,4,3,0,1,0
2024/11/19 3:54:02 PM EST,28,Female,Graduate Degree,North America,White,10,7,9,0,1,0
2024/11/19 3:55:07 PM EST,21,Male,Some College,North America,Hispanic or Latino,8,10,3,0,1,0
2024/11/20 12:14:18 PM EST,22,Female,High School,North America,Asian,9,7,3,0,1,0
2024/11/20 12:15:31 PM EST,22,Male,Bachelor's Degree,North America,White,3,8,1,0,1,0
2024/11/13 11:39:58 AM EST,20,Male,Bachelor's Degree,Asia,Indian,3,8,4,0,0,1
2024/11/13 1:30:44 PM EST,25,Female,Graduate Degree,North America,Asian,10,3,1,0,0,1
2024/11/13 2:30:06 PM EST,21,Female,Some College,North America,Hispanic or Latino,6,9,6,0,0,1
2024/11/13 2:54:49 PM EST,48,Female,Masters,Europe,Asian,10,10,7,0,0,1
2024/11/13 3:00:55 PM EST,17,Male,High School,Asia,Asian,8,9,7,0,0,1
2024/11/13 3:01:54 PM EST,16,Male,High School,Europe,Asian,10,9,2,0,0,1
2024/11/13 3:05:55 PM EST,22,Male,Bachelor's Degree,North America,White,7,6,6,0,0,1
2024/11/13 3:22:31 PM EST,22,Female,Some College,North America,White,6,8,6,0,0,1
2024/11/13 3:22:36 PM EST,20,Female,Bachelor's Degree,North America,Hispanic or Latino,10,8,8,0,0,1
2024/11/13 3:50:11 PM EST,21,Female,Some College,North America,White,8,6,7,0,0,1
2024/11/13 3:58:24 PM EST,23,Male,Bachelor's Degree,North America,Asian,8,9,10,0,0,1
2024/11/13 4:11:02 PM EST,20,Male,High School,North America,Black or African American,10,10,5,0,0,1
2024/11/13 4:26:01 PM EST,20,Female,High School,North America,Black or African American,10,8,3,0,0,1
2024/11/13 4:31:35 PM EST,23,Female,Bachelor's Degree,North America,White,8,7,7,0,0,1
2024/11/13 5:00:50 PM EST,21,Female,Some College,North America,Black or African American,6,3,8,0,0,1
2024/11/13 8:26:08 PM EST,23,Male,Bachelor's Degree,North America,Asian,7,7,8,0,0,1
2024/11/14 8:11:24 AM EST,21,Male,High School,North America,Hispanic or Latino,5,4,5,0,0,1
2024/11/14 10:05:59 AM EST,49,Male,Graduate Degree,Asia,Asian,3,7,7,0,0,1
2024/11/14 2:43:53 PM EST,22,Female,Some College,North America,Black or African American,10,10,10,0,0,1
2024/11/15 11:41:28 AM EST,22,Female,Bachelor's Degree,Asia,Asian,9,10,8,0,0,1
2024/11/15 2:36:21 PM EST,22,Female,High School,North America,Hispanic or Latino,10,9,4,0,0,1
2024/11/15 2:43:53 PM EST,21,Male,Some College,North America,White,7,6,5,0,0,1
2024/11/15 2:47:08 PM EST,23,Male,High School,North America,Asian,8,10,10,0,0,1
2024/11/15 3:02:12 PM EST,21,Male,Bachelor's Degree,North America,Asian,3,5,7,0,0,1
2024/11/15 3:02:29 PM EST,21,Male,Some College,North America,White,3,3,5,0,0,1
2024/11/15 3:08:18 PM EST,21,Male,High School,North America,Asian,7,7,4,0,0,1
2024/11/15 3:15:41 PM EST,21,Male,Some College,North America,Hispanic or Latino,10,10,2,0,0,1
2024/11/15 3:18:59 PM EST,21,Female,Some College,North America,Hispanic or Latino,10,10,7,0,0,1
2024/11/15 3:31:49 PM EST,23,Male,Bachelor's Degree,North America,White,8,4,5,0,0,1
2024/11/15 4:06:46 PM EST,21,Female,Bachelor's Degree,North America,Hispanic or Latino,8,5,6,0,0,1
2024/11/15 4:14:23 PM EST,21,Male,Some College,North America,White,5,7,8,0,0,1
2024/11/15 7:26:04 PM EST,17,Female,High School,North America,White,8,4,2,0,0,1
2024/11/16 4:47:21 PM EST,22,Female,Some College,North America,White,7,8,3,0,0,1
2024/11/16 5:12:32 PM EST,21,Male,Some College,North America,Hispanic or Latino,7,9,5,0,0,1
2024/11/18 11:00:44 AM EST,20,Female,Some College,North America,Black or African American,6,8,5,0,0,1
2024/11/18 3:56:05 PM EST,21,Female,High School,North America,Asian,8,7,5,0,0,1
2024/11/18 5:59:54 PM EST,22,Female,Some College,North America,Black or African American,8,9,6,0,0,1